# SEGGER J-Link RTT Viewer V6.16a Terminal Log File
# Compiled: 12:44:10 on Jun  6 2017
# Logging started @ 03 Dec 2018 15:41:29
 0> <info> app: Right Press
 0> <info> app: Left Press
 0> <info> app: BATT Reading...
 0> <info> app: [OK]	Max30102 Already and background working is begin
 0> 
 0> <info> app: [OK]	HR sample count 707
 0> 
 0> Plus Signal 1, 10
 0> Minus Signal -1, 30
 0> plus_index 10, minus_index 30, Peak Index, 10,11,12,13,14,15,16,17,18,19,20,21,22,23,, AVR Peak Index, 16, HR 0, Reject out of 30-180.
 0> Plus Signal 1, 102
 0> Minus Signal -1, 143
 0> plus_index 102, minus_index 143, Peak Index, 113,114,115,, AVR Peak Index, 114, HR 41
 0> Plus Signal 1, 159
 0> Minus Signal -1, 210
 0> plus_index 159, minus_index 210, Peak Index, 195,196,40,
 0> hr,395,77042,95044,-10.00,-1,-20
 0> hr,396,77039,95051,-10.00,-1,-12
 0> hr,397,77036,95059,-11.00,-1,-3
 0> hr,398,77046,95051,-11.00,-1,-11
 0> hr,399,77048,95077,-11.00,-1,15
 0> hr,400,77045,95060,-12.00,-1,-2
 0> hr,401,77042,95057,-12.00,-1,-5
 0> hr,402,77055,95058,-12.00,-1,-4
 0> hr,403,77046,95056,-12.00,-1,-6
 0> hr,404,77042,95055,-12.00,-1,-6
 0> hr,405,77042,95061,-12.00,-1,0
 0> hr,406,77041,95051,-12.00,-1,-10
 0> hr,407,77047,95054,-12.00,-1,-6
 0> hr,408,77050,95060,-12.00,-1,0
 0> hr,409,77051,95055,-12.00,-1,-5
 0> hr,410,77050,95070,-11.00,-1,9
 0> hr,411,77043,95063,-11.00,-1,2
 0> hr,412,77047,95071,-11.00,-1,10
 0> hr,413,77045,95068,-11.00,-1,6
 0> hr,414,77038,95061,-10.00,-1,0
 0> hr,415,77041,95067,-10.00,-1,5
 0> hr,416,77042,95067,-10.00,-1,5
 0> hr,417,77045,95069,-9.00,-1,6
 0> hr,418,77042,95061,-9.00,-1,-1
 0> hr,419,77054,95063,-8.00,-1,0
 0> hr,420,77052,95066,-8.00,-1,3
 0> hr,421,77038,95069,-8.00,-1,6
 0> hr,422,77055,95059,-7.00,-1,-3
 0> hr,423,77053,95058,-7.00,-1,-4
 0> hr,424,77049,95068,-6.00,-1,5
 0> hr,425,77059,95063,-6.00,-1,0
 0> hr,426,77048,95071,-5.00,-1,8
 0> hr,427,77051,95078,-5.00,-1,14
 0> hr,428,77060,95069,-5.00,-1,5
 0> hr,429,77059,95072,-4.00,-1,7
 0> hr,430,77055,95078,-4.00,-1,13
 0> hr,431,77056,95067,-3.00,-1,1
 0> hr,432,77053,95086,-3.00,-1,20
 0> hr,433,77054,95082,-2.00,-1,15
 0> hr,434,77058,95084,-2.00,-1,16
 0> hr,435,77061,95073,-1.00,0,4
 0> hr,436,77055,95079,-1.00,-1,10
 0> hr,437,77053,95073,0.00,0,4
 0> hr,438,77057,95070,0.00,0,1
 0> hr,439,77066,95059,0.00,0,-10
 0> hr,440,77041,95070,0.00,0,1
 0> hr,441,77051,95072,1.00,0,3
 0> hr,442,77068,95076,1.00,0,7
 0> hr,443,77061,95084,1.00,0,14
 0> hr,444,77065,95076,2.00,0,6
 0> hr,445,77055,95069,2.00,0,-1
 0> hr,446,77053,95070,2.00,0,0
 0> hr,447,77060,95074,3.00,0,3
 0> hr,448,77045,95052,3.00,0,-18
 0> hr,449,77058,95066,3.00,0,-3
 0> hr,450,77049,95060,3.00,0,-9
